language_name,English
party_screen_give_item_1,Gave 
party_screen_give_item_2, to~
party_screen_give_item_3,
party_screen_give_item_4,~and put 
party_screen_give_item_5,~back to the inventory.
party_screen_summary,Summary
party_screen_switch,Switch
party_screen_item,Item
party_screen_back,Back
party_screen_EMPTY,EMPTY
party_screen_teach_move_able,ABLE
party_screen_teach_move_unable,UNABLE
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Nature
poke_status_screen_backadvice,PRESS E TO GO BACK
poke_status_screen_closeadvice,PRESS E TO CLOSE
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,All Exp
poke_status_screen_nxt_lv,Nxt Lv.
poke_status_screen_stats_page,Stats page
Page 2:
poke_status_screen_OT,OT
poke_status_screen_Item,Item
poke_status_screen_no_item,No item
poke_status_screen_ability,Ability
poke_status_screen_details_page,Details page
Page 3:
poke_status_screen_power,Power
poke_status_screen_accuracy,Accuracy
poke_status_screen_moves_page,Moves page
---
Trainer Card Screen:
trainer_screen_trainer_card,Trainer Card
trainer_screen_name,Name
trainer_screen_points,Points
trainer_screen_money,Money
trainer_screen_pokedex,Pokédex
trainer_screen_time,Time
trainer_screen_collected_badges,Collected badges
trainer_screen_badge, Badge
trainer_screen_backadvice,PRESS E TO GO BACK
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,Do you want to save the game?
save_screen_name,Name
save_screen_badges,Badges
save_screen_money,Money
save_screen_time,Time
save_screen_yes,Yes
save_screen_no,No
save_screen_success,Saved the game.
---
Options Screen:
option_screen_title,Options
option_screen_warning,Options aren't saved yet, scroll down and choose "Save options."
option_screen_backadvice,PRESS E TO GO BACK
option_screen_description,Description
option_screen_textspeed,Textspeed
option_screen_textspeed_description,The speed the textbox shows up and~displays the text
option_screen_fov,FOV
option_screen_fov_description,The field of view. The higher the value is,~the more you can see.~Warning: Too large value can cause lags in larger maps.
option_screen_mousespeed,MouseSpeed
option_screen_mousespeed_description,The Mousespeed sets the speed on which the~mouse can rotate the view.
option_screen_volume,Volume
option_screen_volume_description,The volume of the background music.~This settings is for all save states.
option_screen_render_distance,RenderDistance
option_screen_render_distance_tiny,Tiny
option_screen_render_distance_short,Short
option_screen_render_distance_normal,Normal
option_screen_render_distance_far,Far
option_screen_render_distance_extreme,Extreme
option_screen_render_distance_description,The renderdistance determines,~how far you can see.~By turning this down, you can improve your FPS.
option_screen_graphics,Graphics
option_screen_graphics_fancy,Fancy
option_screen_graphics_fast,Fast
option_screen_graphics_description,Affects if some objects are rendered~or not. By turning this down, you can improve your FPS.~This settings is for all save states.
option_screen_offset_map_quality,Offset map quality
option_screen_offset_map_off,Off
option_screen_offset_map_quality_description,Sets the quality of the offset maps.~The details and update frequency of offset maps increase with this value.~Set this value to 0 to prevent the game from loading offset maps.
option_screen_animations_in_battle,Animations in battle
option_screen_animations_in_battle_no,No
option_screen_animations_in_battle_attacks_off,Attacks off
option_screen_animations_in_battle_yes,Yes
option_screen_animations_in_battle_description,Determines if the game shows battle animations.
option_screen_difficulty,Difficulty
option_screen_difficulty_description,Difficulty mode~Sets the level of difficulty.
option_screen_battle_style,BattleStyle
option_screen_battle_style_shift,Shift
option_screen_battle_style_set,Set
option_screen_battle_style_description,Battle Style~Set: You are not asked to switch out your Pokémon~Shift: You can switch out your Pokémon after defeating an opponent.
option_screen_view_bobbing,View bobbing
option_screen_view_bobbing_description,Turns camera shaking on or off.
option_screen_reset_options,Reset options.
option_screen_reset_options_description,Resets all options.
option_screen_save_options,Save options.
option_screen_save_options_description,Save the options and close the menu.
option_screen_close_menu,Close menu.
option_screen_close_menu_description,Close the menu and do not save~the changes.
---
Item Detail Screen:
item_detail_screen_use,Use
item_detail_screen_give,Give
item_detail_screen_trash,Trash
item_detail_screen_back,Back
item_detail_screen_give_item,Give 
---
Apricorn Screen:
apricorn_screen_apricorns,Apricorns
apricorn_screen_producing,I am producing the Balls at the moment.~Come back later.
apricorn_screen_backadvice,PRESS E TO GO BACK
apricorn_screen_choose_apricorns,Please choose the Apricorns I should take to produce Pokéballs.
apricorn_screen_ok,OK
apricorn_screen_clear,Clear
apricorn_screen_take,Take
apricorn_screen_ready,I am ready producing Pokéballs. Here's the result of my work:
apricorn_screen_obtain, obtained
---
Daycare Screen:
daycare_screen_daycare,Daycare
daycare_screen_money, / Money: 
daycare_screen_deposit,Deposit
daycare_screen_grown,Grown: 
daycare_screen_lv, / Lv. 
daycare_screen_costs, / Costs:
daycare_screen_pokedollar, PokéDollar
daycare_screen_withdraw,Withdraw
daycare_screen_backadvice,PRESS E TO GO BACK
daycare_screen_pokemon_choose_header,Deposit Pokémon
Egg,Egg
---
Network Screen:
network_screen_isonline,You are in a co-op game already! Please close the connection~to open a new game or connect again!~~~PRESS E TO GO BACK!
network_screen_header,Co-Op Gameplay
network_screen_main_header,You can either join a game or host a~new one to play together with a friend.
network_screen_main_join,Join
network_screen_main_host,Host
network_screen_main_close,Close
network_screen_join_header,Join a game:~Enter the IP address of the hosted game.
network_screen_join_cancel,Cancel
network_screen_join_join,Join
network_screen_host_header,Host a game:~You are about to open your~game for other players in your network.
network_screen_host_cancel,Cancel
network_screen_host_host,Host
---
Donation screen:
donation_screen_donators,Donators
donation_screen_backadvice,PRESS E TO CLOSE
---
Blackout Screen:
black_out_screen_line1,You have run out of Pokémon!
black_out_screen_line2,You will be brought
black_out_screen_line3,to the nearest PokéCenter
black_out_screen_line4,to prevent further injury
black_out_screen_line5,to your Pokémon.
---
Battle:
---
main:
battle_main_trainer_sent_out_1, sent out~
battle_main_trainer_sent_out_2,.
battle_main_trainer_sent_out_3, is about~to send out~
battle_main_trainer_sent_out_4,!~Do you want to switch~your Pokémon?
battle_main_trainer_sent_out_5,Yes
battle_main_trainer_sent_out_6,No
battle_main_choose_pokemon,Choose Pokémon
battle_main_wild_appear_1,A wild 
battle_main_wild_appear_2,~appeared!
battle_main_trainer_intro_1, and~
battle_main_trainer_intro_2, want~to battle!
battle_main_trainer_intro_3, wants~to battle!
battle_main_intro_1,GO! 
battle_main_intro_2,!
battle_main_trainer_defeat_1,~was defeated!
battle_main_trainer_defeat_2, and~
battle_main_trainer_defeat_3,~were defeated!
battle_main_trainer_defeat_4, got 
battle_main_trainer_defeat_5,~PokéDollars for winning!
---
attackTurn:
battle_attack_poison_damage,~was hurt by poison!
battle_attack_curse_damage,~is afflicted by the curse!
battle_attack_fire_damage,~was hurt by its burn!
battle_attack_trainer_item_1, used a~
battle_attack_trainer_item_2,!
battle_attack_asleep, is fast~asleep.
battle_attack_woke_up, woke up!
battle_attack_paralyzed, is paralyzed!~It can't move!
battle_attack_frozen_free, is no~longer frozen!
battle_attack_frozen, is frozen~solid!
battle_attack_flinched, flinched!
battle_attack_no_longer_confused, is no~longer confused!
battle_attack_confused, is~confused.
battle_attack_hit_self_confusion, hits itself~in confusion!
battle_attack_no_PP_left, has~no PP left!*
battle_attack_used, used 
---
Badges:
badge_Cocoon,Cocoon
badge_Chaos,Chaos
badge_Continent,Continent
badge_Hilltop,Hilltop
badge_Sting,Sting
badge_Vegetable,Vegetable
badge_Legend,Legend
badge_Tear,Tear
badge_Hawk,Hawk
badge_Steam,Steam
badge_Star,Star
badge_Plate,Plate
badge_unknown1,???
badge_unknown2,???
badge_unknown3,???
badge_unknown4,???
---
Regions:
Corna,Corna
Garna,Garna
Origin Islands,Origin Islands
---
Places:
Places_???,???

Towns:
Places_Breeze Town,Breeze Town
Places_Pink Town,Pink Town
Places_Cloudain City,Cloudain City
Places_Pinkranite City,Pinkranite City
Places_Golden Island,Golden Island
Places_Seablue City,Seablue City
Places_Purple City,Purple City
Places_Greenie Ville,Greenie Ville
Places_Maroon Town,Maroon Town
Places_Polkadot Town,Polkadot Town
Places_Black Village,Black Village
Places_White Port City,White Port City
Places_Grey Stone City,Grey Stone City
Places_Quartztower Town,Quartztower Town
Places_Muddy Island,Muddy Island
Places_Olimpic Village,Olimpic Village

Gyms:
Places_Pinkranite City Gym,Pinkranite City Gym
Places_Cloudain City Gym,Cloudain City Gym
Places_Golden Island Gym,Golden Island Gym
Places_Purple City Gym,Purple City Gym
Places_Maroon Town Gym,Maroon Town Gym
Places_Black Village Gym,Black Village Gym
Places_Grey Stone City,Grey Stone City Gym
Places_Quartztower Town,Quartztower Town Gym

Other Places:
Places_Oil Platform,Oil Platform
Places_Gate,Gate
Places_Pokémon Center,Pokémon Center
Places_Pokémon Mart,Pokémon Mart
Places_Baro's Lab,Baro's Lab
Places_Your House,Your House
Places_Your Room,Your Room
Places_Daycare,Daycare

Landmarks:
Places_Greenie Cave,Greenie Cave
Places_Downhill Tunnel,Downhill Tunnel
Places_Darkness Forest,Darkness Forest
Places_Greenie Tunnel,Greenie Tunnel
Places_Broke Cave,Broke Cave
Places_Generator Cave,Generator Cave
Places_Cauldron,Cauldron
Places_Mount Niveous,Mount Niveous
Places_Downhill Tunnel,Downhill Tunnel
Places_S.S. Anne,S.S. Anne
Places_Maná Nests,Maná Nests
Places_City Sewer,City Sewer
Places_Marble Castle,Marble Castle
Places_Descomune Cave,Descomune Cave
Places_Nature Temple,Nature Temple
Places_Star Temple,Star Temple
Places_Chaos Cavern,Chaos Cavern
Places_Peace Tower,Peace Tower
Places_Forbidden Rooms,Forbidden Rooms
Places_Mole Tomb,Mole Tomb
Places_Wild Temple,Wild Temple
Places_Sea Cavern,Sea Cavern

Routes:
Places_Breeze Way,Breeze Way
Places_Cloud Way,Cloud Way
Places_Rock Canyon,Rock Canyon
Places_Cloud Beach,Cloud Beach
Places_Boar Hill,Boar Hill
Places_Green Way,Green Way
Places_Gold Beach,Gold Beach
Places_Gull Sea,Gull Sea
Places_Flower Beach,Flower Beach
Places_Seablue Lake,Seablue Lake
Places_Brown Hill,Brown Hill
Places_Lilac Way,Lilac Way
Places_Purple Shore,Purple Shore
Places_Maroon Hill,Maroon Hill
Places_Deathland,Deathland
Places_Grey Hill,Grey Hill
Places_Black Jungle,Black Jungle
Places_White Jungle,White Jungle
Places_White Road,White Road
Places_Union Sea,Union Sea
Places_Grey Swamp,Grey Swamp
Places_North Sea,North Sea 
Places_Tower Sea,Tower Sea
Places_Muddy Sea,Muddy Sea
Places_Muddy Creak,Muddy Creak
Places_Ditch Sea,Ditch Sea

---
Item categories:
item_category_Standard,Standard
item_category_Medicine,Medicine
item_category_Machines,Machines
item_category_Pokéballs,Poké Balls
item_category_Plants,Plants
item_category_KeyItems,Key Items
item_category_BattleItems,Battle Items
item_category_Mail,Mail
---
Item names:
Balls:
item_name_1,Master Ball
item_name_2,Ultra Ball
item_name_3,Premier Ball
item_name_4,Great Ball
item_name_5,Poké Ball
item_name_45,Cherish Ball
item_name_79,Dive Ball
item_name_80,Net Ball
item_name_129,Quick Ball
item_name_150,Timer Ball
item_name_157,Heavy Ball
item_name_158,Dusk Ball
item_name_159,Level Ball
item_name_160,Lure Ball
item_name_161,Fast Ball
item_name_164,Friend Ball
item_name_165,Moon Ball
item_name_166,Love Ball
item_name_168,Repeat Ball
item_name_174,Luxury Ball
item_name_177,Sport Ball
item_name_181,Safari Ball
item_name_186,Heal Ball
item_name_188,Nest Ball

Key Items:
item_name_6,Skates
item_name_41,S.S. Ticket
item_name_54,Coin Case
item_name_55,Item Finder
item_name_56,Crystal Wing
item_name_58,Old Rod
item_name_59,Good Rod
item_name_61,Super Rod
item_name_66,Red Scale
item_name_67,Secret Potion
item_name_69,Mystery Egg
item_name_71,Silver Wing
item_name_78,Running Shoes
item_name_115,GS Ball
item_name_116,Blue Card
item_name_127,Card Key
item_name_128,Machine Part
item_name_130,Lost Item
item_name_133,Basement Key
item_name_134,Pass
item_name_175,Squirt Bottle
item_name_178,Rainbow Wing
item_name_241,Oval Charm
item_name_242,Shiny Charm
item_name_265,Tri Pass
item_name_284,Rainbow Pass
item_name_285,Old Sea Map
item_name_286,Ancient Shard
item_name_292,Empty Sea Map
item_name_592,Liberty Sea Map
item_name_576,Mega Bracelet
item_name_651,Light Stone
item_name_652,Dark Stone

Technical Machines:
item_name_191,TM01
item_name_192,TM02
item_name_193,TM03
item_name_194,TM04
item_name_195,TM05
item_name_196,TM06
item_name_197,TM07
item_name_198,TM08
item_name_199,TM09
item_name_200,TM10
item_name_201,TM11
item_name_202,TM12
item_name_203,TM13
item_name_204,TM14
item_name_205,TM15
item_name_206,TM16
item_name_207,TM17
item_name_208,TM18
item_name_209,TM19
item_name_210,TM20
item_name_211,TM21
item_name_212,TM22
item_name_213,TM23
item_name_214,TM24
item_name_215,TM25
item_name_216,TM26
item_name_217,TM27
item_name_218,TM28
item_name_219,TM29
item_name_220,TM30
item_name_221,TM31
item_name_222,TM32
item_name_223,TM33
item_name_224,TM34
item_name_225,TM35
item_name_226,TM36
item_name_227,TM37
item_name_228,TM38
item_name_229,TM39
item_name_230,TM40
item_name_231,TM41
item_name_232,TM42
item_name_233,TM43
item_name_234,TM44
item_name_235,TM45
item_name_236,TM46
item_name_237,TM47
item_name_238,TM48
item_name_239,TM49
item_name_240,TM50
item_name_351,TM51
item_name_352,TM52
item_name_353,TM53
item_name_354,TM54
item_name_355,TM55
item_name_356,TM56
item_name_357,TM57
item_name_358,TM58
item_name_359,TM59
item_name_360,TM60
item_name_361,TM61
item_name_362,TM62
item_name_363,TM63
item_name_364,TM64
item_name_365,TM65
item_name_366,TM66
item_name_367,TM67
item_name_368,TM68
item_name_369,TM69
item_name_370,TM70
item_name_371,TM71
item_name_372,TM72
item_name_373,TM73
item_name_374,TM74
item_name_375,TM75
item_name_376,TM76
item_name_377,TM77
item_name_378,TM78
item_name_379,TM79
item_name_380,TM80
item_name_381,TM81
item_name_382,TM82
item_name_383,TM83
item_name_384,TM84
item_name_385,TM85
item_name_386,TM86
item_name_387,TM87
item_name_388,TM88
item_name_389,TM89
item_name_390,TM90
item_name_391,TM91
item_name_392,TM92
item_name_393,TM93
item_name_394,TM94
item_name_395,TM95
item_name_396,TM96
item_name_397,TM97
item_name_398,TM98
item_name_399,TM99
item_name_400,TM100
item_name_401,TM101
item_name_402,TM102
item_name_403,TM103
item_name_404,TM104
item_name_405,TM105
item_name_406,TM106
item_name_407,TM107
item_name_408,TM108
item_name_409,TM109
item_name_410,TM110
item_name_411,TM111
item_name_412,TM112
item_name_413,TM113
item_name_414,TM114
item_name_415,TM115
item_name_416,TM116
item_name_417,TM117
item_name_418,TM118
item_name_419,TM119
item_name_420,TM120
item_name_421,TM121
item_name_422,TM122
item_name_423,TM123
item_name_424,TM124
item_name_425,TM125
item_name_426,TM126
item_name_427,TM127
item_name_428,TM128
item_name_429,TM129
item_name_430,TM130
item_name_431,TM131
item_name_432,TM132
item_name_433,TM133
item_name_434,TM134
item_name_435,TM135
item_name_436,TM136
item_name_437,TM137
item_name_438,TM138
item_name_439,TM139
item_name_440,TM140
item_name_441,TM141
item_name_442,TM142
item_name_443,TM143
item_name_444,TM144
item_name_445,TM145
item_name_446,TM146
item_name_447,TM147
item_name_448,TM148
item_name_449,TM149
item_name_450,TM150
item_name_451,TM151
item_name_452,TM152
item_name_453,TM153
item_name_454,TM154
item_name_455,TM155
item_name_456,TM156
item_name_457,TM157
item_name_458,TM158
item_name_459,TM159
item_name_460,TM160
item_name_461,TM161
item_name_462,TM162
item_name_463,TM163
item_name_464,TM164
item_name_465,TM165
item_name_466,TM166
item_name_467,TM167
item_name_468,TM168
item_name_469,TM169
item_name_470,TM170
item_name_471,TM171
item_name_472,TM172
item_name_473,TM173
item_name_474,TM174
item_name_475,TM175
item_name_476,TM176
item_name_477,TM177
item_name_478,TM178
item_name_479,TM179
item_name_480,TM180
item_name_481,TM181

Hidden Machines:
item_name_247,HM01
item_name_244,HM02
item_name_245,HM03
item_name_246,HM04
item_name_243,HM05
item_name_248,HM06
item_name_249,HM07
item_name_250,HM08
item_name_251,HM09
item_name_252,HM10

Medicine:
item_name_7,Lava Cookie
item_name_9,Antidote
item_name_10,Burn Heal
item_name_11,Ice Heal
item_name_12,Awakening
item_name_13,Paralyze Heal
item_name_14,Full Restore
item_name_15,Max Potion
item_name_16,Hyper Potion
item_name_17,Super Potion
item_name_18,Potion
item_name_21,Max Elixir
item_name_32,Rare Candy
item_name_38,Full Heal
item_name_39,Revive
item_name_40,Max Revive
item_name_46,Beer
item_name_47,Soda Pop
item_name_48,Absenta
item_name_62,PPUp
item_name_63,Ether
item_name_64,Max Ether
item_name_65,Elixir
item_name_72,MooMoo Milk
item_name_114,Rage Candy Bar
item_name_121,Energy Powder
item_name_122,Energy Root
item_name_123,Heal Powder
item_name_124,Revival Herb
item_name_139,Berry Juice
item_name_152,Pewter Crunchies
item_name_156,Sacred Ash
item_name_266,Fanta
item_name_502,PPMax

Berries:
item_name_2000,Cheri Berry
item_name_2001,Chesto Berry
item_name_2002,Pecha Berry
item_name_2003,Rawst Berry
item_name_2004,Aspear Berry
item_name_2005,Leppa Berry
item_name_2006,Oran Berry
item_name_2007,Persim Berry
item_name_2008,Lum Berry
item_name_2009,Sitrus Berry
item_name_2010,Figy Berry
item_name_2011,Wiki Berry
item_name_2012,Mago Berry
item_name_2013,Aguav Berry
item_name_2014,Iapapa Berry
item_name_2015,Razz Berry
item_name_2016,Bluk Berry
item_name_2017,Nanab Berry
item_name_2018,Wepear Berry
item_name_2019,Pinap Berry
item_name_2020,Pomeg Berry
item_name_2021,Kelpsy Berry
item_name_2022,Qualot Berry
item_name_2023,Hondew Berry
item_name_2024,Grepa Berry
item_name_2025,Tamato Berry
item_name_2026,Cornn Berry
item_name_2027,Magost Berry
item_name_2028,Rabuta Berry
item_name_2029,Nomel Berry
item_name_2030,Spelon Berry
item_name_2031,Pamtre Berry
item_name_2032,Watmel Berry
item_name_2033,Durin Berry
item_name_2034,Belue Berry
item_name_2035,Occa Berry
item_name_2036,Passho Berry
item_name_2037,Wacan Berry
item_name_2038,Rindo Berry
item_name_2039,YacheBerry
item_name_2040,Chople Berry
item_name_2041,Kebia Berry
item_name_2042,Shuca Berry
item_name_2043,Coba Berry
item_name_2044,Payapa Berry
item_name_2045,Tanga Berry
item_name_2046,Charti Berry
item_name_2047,Kasib Berry
item_name_2048,Haban Berry
item_name_2049,Colbur Berry
item_name_2050,Babiri Berry
item_name_2051,Chilan Berry
item_name_2052,Liechi Berry
item_name_2053,Ganlon Berry
item_name_2054,Salac Berry
item_name_2055,Petaya Berry
item_name_2056,Apicot Berry
item_name_2057,Lansat Berry
item_name_2058,Starf Berry
item_name_2059,Enigma Berry
item_name_2060,Micle Berry
item_name_2061,Custap Berry
item_name_2062,Jaboca Berry
item_name_2063,Rowap Berry
item_name_2064,Roseli Berry
item_name_2065,Kee Berry
item_name_2066,Maranga Berry

Stones:
item_name_8,Moon Stone
item_name_22,Fire Stone
item_name_23,Thunder Stone
item_name_24,Water Stone
item_name_34,Leaf Stone
item_name_112,Everstone
item_name_169,Sun Stone
item_name_262,Sticky Rock

Standard:
item_name_19,Escape Rope
item_name_30,Lucky Punch
item_name_35,Metal Powder
item_name_36,Nugget
item_name_37,Poké Doll
item_name_57,Exp. Share
item_name_60,Silver Leaf
item_name_70,Sticky Barb
item_name_73,Quick Claw
item_name_74,Zoom Lens
item_name_75,Gold Leaf
item_name_76,Soft Sand
item_name_77,Sharp Beak
item_name_81,Poison Barb
item_name_82,Kings Rock
item_name_83,Prism Scale
item_name_84,Reaper Cloth
item_name_88,Silver Powder
item_name_90,Silk Scarf
item_name_91,Amulet Coin
item_name_94,Cleanse Tag
item_name_95,Mystic Water
item_name_96,Twisted Spoon
item_name_98,Black Belt
item_name_100,Magmarizer
item_name_102,Black Glasses
item_name_103,Slowpoke Tail
item_name_104,Pink Bow
item_name_105,Stick
item_name_106,Smoke Ball
item_name_107,NeverMelt Ice
item_name_108,Magnet
item_name_109,Rare Bone
item_name_110,Pearl
item_name_111,Big Pearl
item_name_113,Spell Tag
item_name_117,Miracle Seed
item_name_118,Thick Club
item_name_119,Focus Band
item_name_120,Electirizer
item_name_125,Hard Stone
item_name_126,Lucky Egg
item_name_131,Stardust
item_name_132,Star Piece
item_name_135,Shiny Stone
item_name_136,Dusk Stone
item_name_137,Dawn Stone
item_name_138,Charcoal
item_name_140,Scope Lens
item_name_141,Protector
item_name_142,Lagging Tail
item_name_143,Metal Coat
item_name_144,Dragon Fang
item_name_145,Wave Incense
item_name_146,Leftovers
item_name_147,White Flute
item_name_148,Soothe Bell
item_name_149,Comet Shard
item_name_151,Dragon Scale
item_name_153,Balm Mushroom
item_name_154,Shed Shell
item_name_155,Quick Powder
item_name_162,Deep Sea Scale
item_name_163,Light Ball
item_name_167,Deep Sea Tooth
item_name_170,Berserk Gene
item_name_171,Wide Lens
item_name_172,Up Grade
item_name_173,Pearl String
item_name_176,Grip Claw
item_name_179,Oval Stone
item_name_180,Brick Piece
item_name_182,Black Sludge
item_name_183,Razor Fang
item_name_184,Razor Claw
item_name_185,Dubious Disc
item_name_187,Ability Capsule
item_name_189,Big Nugget
item_name_190,Heart Scale
item_name_263,Odd Incense
item_name_264,Sea Incense
item_name_287,Rose Incence
item_name_288,Full Incense
item_name_289,Lax Incense
item_name_290,Luck Incense
item_name_291,Luck Incense
item_name_293,Damp Rock
item_name_294,Heat Rock
item_name_295,Smooth Rock
item_name_296,Icy Rock
item_name_297,Light Clay
item_name_298,Eviolite
item_name_299,Rock Incense
item_name_503,Sachet
item_name_504,Whipped Dream
item_name_505,Toxic Orb
item_name_506,Life Orb
item_name_577,Flame Orb
item_name_578,Choice Band
item_name_579,Choice Scarf
item_name_580,Choice Specs
item_name_581,Macho Brace
item_name_582,Power Weight
item_name_583,Power Bracer
item_name_584,Power Belt
item_name_585,Power Lens
item_name_586,Power Band
item_name_587,Power Anklet
item_name_591,Expert Belt
item_name_593,Ice Stone
item_name_594,Snowball
item_name_595,Cell Battery
item_name_596,Electric Seed
item_name_597,Grassy Seed
item_name_598,Misty Seed
item_name_599,Psychic Seed
item_name_600,Terrain Extender
item_name_648,Poke Toy
item_name_649,Fluffy Tail
item_name_650,Bright Powder
item_name_1996,Burn Drive
item_name_1997,Chill Drive
item_name_1998,Douse Drive
item_name_1999,Shock Drive
item_name_677,Shell Dust

Fossils:
item_name_601,Helix Fossil
item_name_602,Dome Fossil
item_name_603,Old Amber
item_name_604,Root Fossil
item_name_605,Claw Fossil
item_name_606,Skull Fossil
item_name_607,Armor Fossil
item_name_608,Cover Fossil
item_name_609,Plume Fossil
item_name_610,Jaw Fossil
item_name_611,Sail Fossil

Repels:
item_name_20,Repel
item_name_42,Super Repel
item_name_43,Max Repel

Vitamins:
item_name_25,Zinc
item_name_26,HPUp
item_name_27,Protein
item_name_28,Iron
item_name_29,Carbos
item_name_31,Calcium

XItems:
item_name_33,XAccuracy
item_name_44,Dire Hit
item_name_49,XAttack
item_name_50,XSp Def
item_name_51,XDefend
item_name_52,XSpeed
item_name_53,XSpecial
item_name_68,Guard Spec

Apricorns:
item_name_85,Red Apricorn
item_name_89,Blu Apricorn
item_name_92,Ylw Apricorn
item_name_93,Grn Apricorn
item_name_97,Wht Apricorn
